"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2003"	"2003"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	394
	"2003"	"2003"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Excluded"	"999"	1210
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"0 -  8 years"	"19176"	2408
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"9 - 11 years"	"19177"	2561
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"12 years"	"19178"	11290
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"13 - 15 years"	"19179"	13352
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"16 years and over"	"16+"	30541
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	818
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Excluded"	"999"	3980
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1175
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"9 - 11 years"	"19177"	1874
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"12 years"	"19178"	4110
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2712
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"16 years and over"	"16+"	1325
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	236
	"2003"	"2003"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Excluded"	"999"	585
	"2003"	"2003"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"0 -  8 years"	"19176"	1272
